Country,Year,Capacity,Economic,Ecosystems,Exposure,Food,Governance,Habitat,Health,Infrastructure,Readiness,Sensitivity,Social,Vulnerability,Water
AFG,1995,0.893281,0.496497,0.515884,0.480512,0.665745,0.12809,0.602933,0.748302,0.35558630120481927,0.308182,0.419587,0.299958,0.612511,0.529692
AFG,1996,0.893892,0.496497,0.516995,0.480512,0.665583,0.12809,0.604235,0.748302,0.3544835903614458,0.308181,0.419307,0.299954,0.612679,0.528281
AFG,1997,0.894459,0.496497,0.51803,0.480512,0.66542,0.141392,0.605583,0.748302,0.35392487349397594,0.312614,0.419055,0.299952,0.612837,0.526853
AFG,1998,0.890161,0.496497,0.518156,0.480512,0.657103,0.154694,0.606909,0.748302,0.35370998192771086,0.317047,0.418794,0.299949,0.611179,0.525424
AFG,1999,0.885896,0.496497,0.518156,0.480512,0.648959,0.143689,0.608137,0.748302,0.3522916686746988,0.313378,0.419433,0.299947,0.609828,0.525585
AFG,2000,0.881523,0.496497,0.518156,0.480512,0.640726,0.132685,0.609171,0.748302,0.35289078313253014,0.309709,0.419954,0.299946,0.608398,0.525637
AFG,2001,0.871661,0.496497,0.518156,0.480512,0.63125,0.135052,0.609941,0.747669,0.35184501807228913,0.310498,0.420319,0.299946,0.606533,0.525648
AFG,2002,0.861821,0.496497,0.518156,0.480512,0.62244,0.137419,0.610407,0.747669,0.35037211445783134,0.311304,0.420499,0.299996,0.604601,0.524336
AFG,2003,0.85244,0.496497,0.518156,0.480512,0.614618,0.116023,0.610594,0.700842,0.34982979518072294,0.304292,0.397099,0.300355,0.593451,0.523046
AFG,2004,0.842772,0.496497,0.518156,0.480512,0.606118,0.114536,0.610599,0.722573,0.3492319879518072,0.304013,0.407808,0.301004,0.595817,0.52164
AFG,2005,0.834942,0.336073,0.518156,0.480512,0.606225,0.092322,0.605278,0.760744,0.3485309277108434,0.244088,0.426574,0.303869,0.602124,0.520217
AFG,2006,0.827672,0.249237,0.518156,0.480512,0.606113,0.092542,0.599683,0.780382,0.3462596325301205,0.216438,0.435272,0.307536,0.604629,0.518809
AFG,2007,0.819681,0.244378,0.518156,0.480512,0.6064,0.05415,0.59378,0.764594,0.3457751506024096,0.20333,0.426957,0.311462,0.600051,0.517326
AFG,2008,0.806682,0.233301,0.518102,0.480512,0.606589,0.040618,0.576649,0.779774,0.3439663855421687,0.196948,0.433728,0.316926,0.599393,0.515852
AFG,2009,0.791206,0.223552,0.517591,0.480512,0.605034,0.068166,0.559368,0.802052,0.3423616927710843,0.204766,0.443515,0.322581,0.599694,0.514423
AFG,2010,0.783362,0.213381,0.509763,0.480512,0.592699,0.046759,0.541943,0.761624,0.3371851987951807,0.194018,0.414945,0.321915,0.5838,0.512969
AFG,2011,0.780181,0.177526,0.509655,0.480512,0.592614,0.057089,0.537804,0.801086,0.33690315662650605,0.187068,0.434222,0.32659,0.590539,0.511536
AFG,2012,0.753834,0.175065,0.507987,0.480512,0.566833,0.096203,0.533639,0.803846,0.3348141144578313,0.20086,0.418757,0.331311,0.584483,0.51011
AFG,2013,0.756379,0.178628,0.507907,0.480512,0.573927,0.092619,0.536066,0.819986,0.333201156626506,0.202361,0.429944,0.335835,0.58931,0.508663
AFG,2014,0.730864,0.201495,0.50328,0.480512,0.569203,0.111251,0.538455,0.816863,0.3317930843373494,0.217887,0.430145,0.340917,0.587004,0.50722
AFG,2015,0.74247,0.200231,0.503737,0.480512,0.587182,0.113601,0.536574,0.782909,0.33022236746987954,0.219152,0.427601,0.343624,0.583233,0.505762
AFG,2016,0.716347,0.261156,0.509198,0.480512,0.592013,0.070942,0.534673,0.801845,0.3268397289156627,0.226482,0.442936,0.347348,0.588403,0.504288
AFG,2017,0.710364,0.238742,0.509198,0.480512,0.617105,0.073276,0.533804,0.806221,0.31766240963855424,0.22076,0.465357,0.350261,0.593829,0.502818
AFG,2018,0.706065,0.21024,0.509198,0.480512,0.605161,0.079531,0.533109,0.807338,0.31267248795180724,0.214534,0.461523,0.353833,0.591231,0.501348
AFG,2019,0.665179,0.224049,0.509143,0.480512,0.588475,0.098747,0.533171,0.808552,0.3047025481927711,0.226054,0.449375,0.355365,0.587843,0.499876
