,PC,Explained Variance,Cumulative
0,PC1,0.5061854718920431,0.5061854718920431
1,PC2,0.11492492177974133,0.6211103936717844
2,PC3,0.08959875658723342,0.7107091502590178
3,PC4,0.07076528885356087,0.7814744391125787
4,PC5,0.05539942950575274,0.8368738686183315
5,PC6,0.03935626289462574,0.8762301315129573
6,PC7,0.03587139928070915,0.9121015307936664
7,PC8,0.03077219579525156,0.942873726588918
8,PC9,0.025705992660273902,0.9685797192491918
9,PC10,0.01890354706181652,0.9874832663110084
10,PC11,0.010842302675699977,0.9983255689867083
11,PC12,0.001674431013291714,1.0
