country,indicator,model,mae,shared_order
AFG,Capacity,ets,0.016804433052822088,
AFG,Economic,arima,0.014889557160852607,
AFG,Ecosystems,ets,0.0009664334873462632,
AFG,Exposure,ets,4.4408920985006264e-17,
AFG,Food,ets,0.012619642638656826,
AFG,Governance,arima_shared_order,0.04352562730718246,"(2, 0, 0)"
AFG,Habitat,ets,0.0016487507809698654,
AFG,Health,ets,0.009690445751375653,
AFG,Infrastructure,ets,0.005455264673393956,
AFG,Sensitivity,arima,0.008337139418012918,
AFG,Social,arima,0.0028692910131642656,
AFG,Water,ets,0.00035296116245989715,
AGO,Capacity,ets,0.005679530118682785,
AGO,Economic,arima,0.008582351117721099,
AGO,Ecosystems,arima_shared_order,0.0008910714706080291,"(2, 0, 0)"
AGO,Exposure,ets,1.1102230246251565e-16,
AGO,Food,ets,0.005590694125123141,
AGO,Governance,arima_shared_order,0.10623773748814176,"(2, 0, 0)"
AGO,Habitat,arima,0.001504181734630783,
AGO,Health,arima,0.004521439055113463,
AGO,Infrastructure,ets,0.003352865833816754,
AGO,Sensitivity,arima,0.002691459099339144,
AGO,Social,ets,0.006963771857700851,
AGO,Water,ets,0.0011782657414877496,
ALB,Capacity,ets,0.05149680937868898,
ALB,Economic,arima_shared_order,0.013918630723523572,"(2, 0, 0)"
ALB,Ecosystems,arima_shared_order,0.0027612166938563608,"(2, 0, 0)"
ALB,Exposure,arima,0.0,
ALB,Food,arima,0.006624410609627785,
ALB,Governance,ets,0.01762314065280881,
ALB,Habitat,arima,0.0010818829955985486,
ALB,Health,ets,0.01064813393995695,
ALB,Infrastructure,arima_shared_order,0.0886803371606019,"(2, 0, 0)"
ALB,Sensitivity,arima,0.005354579944442606,
ALB,Social,ets,0.02161838108094718,
ALB,Water,ets,0.000980599958023415,
ARE,Capacity,ets,0.039985586102939265,
ARE,Economic,arima,0.02148374751609976,
ARE,Ecosystems,ets,0.0016784147538197124,
ARE,Exposure,ets,6.661338147750939e-17,
ARE,Food,ets,0.006684952372186937,
ARE,Governance,arima,0.02040363831989308,
ARE,Habitat,ets,0.0008896659185803846,
ARE,Health,ets,0.005544340567202877,
ARE,Infrastructure,arima_shared_order,0.06333070526510051,"(2, 0, 0)"
ARE,Sensitivity,ets,0.0022746791153236854,
ARE,Social,ets,0.004659690957713703,
ARE,Water,arima,2.4483692802745872e-05,
ARG,Capacity,ets,0.034032038728590085,
ARG,Economic,arima_shared_order,0.0038145437175940876,"(2, 0, 0)"
ARG,Ecosystems,ets,0.0050253650122701,
ARG,Exposure,ets,6.661338147750939e-17,
ARG,Food,arima,0.006005393441996398,
ARG,Governance,arima_shared_order,0.02799979399507111,"(2, 0, 0)"
ARG,Habitat,ets,0.002206361434499282,
ARG,Health,ets,0.004349921366585685,
ARG,Infrastructure,ets,0.11689331128519423,
ARG,Sensitivity,ets,0.003227464942011865,
ARG,Social,ets,0.007698748502507335,
ARG,Water,arima_shared_order,0.0011990639026313254,"(2, 0, 0)"
ARM,Capacity,arima_shared_order,0.014092035062025332,"(2, 0, 0)"
ARM,Economic,ets,0.009244837326094713,
ARM,Ecosystems,arima_shared_order,0.0003623294827970969,"(2, 0, 0)"
ARM,Exposure,ets,5.551115123125783e-17,
ARM,Food,arima_shared_order,0.0094792379170222,"(2, 0, 0)"
ARM,Governance,ets,0.09002190938762608,
ARM,Habitat,arima_shared_order,0.0019647573483442702,"(2, 0, 1)"
ARM,Health,ets,0.014187905578320115,
ARM,Infrastructure,ets,0.027447733829332056,
ARM,Sensitivity,arima,0.004035771663838628,
ARM,Social,arima,0.004053249926195779,
ARM,Water,ets,0.004701713692327014,
ATG,Capacity,ets,0.01791127414739868,
ATG,Economic,ets,0.005338281788525334,
ATG,Ecosystems,ets,0.0035691716871833813,
ATG,Exposure,ets,6.661338147750939e-17,
ATG,Food,ets,0.0026494956045275187,
ATG,Governance,arima,0.020622892500872004,
ATG,Habitat,arima_shared_order,0.00039455442852223135,"(2, 0, 1)"
ATG,Health,ets,0.02646032541332789,
ATG,Infrastructure,arima,0.0030253558312862473,
ATG,Sensitivity,arima_shared_order,0.002243665072770462,"(2, 0, 0)"
ATG,Social,arima,0.00646532453261377,
ATG,Water,ets,5.636369021988497e-06,
AUS,Capacity,ets,0.01814607197148761,
AUS,Economic,arima,0.004206323746736929,
AUS,Ecosystems,ets,1.7290945532277836e-05,
AUS,Exposure,ets,6.661338147750939e-17,
AUS,Food,ets,0.0016931659944099842,
AUS,Governance,ets,0.011484583092763895,
AUS,Habitat,arima_shared_order,0.0010523773109705648,"(2, 0, 1)"
AUS,Health,ets,0.0026565084030931,
AUS,Infrastructure,ets,0.052363325929146366,
AUS,Sensitivity,ets,0.0008419620391602323,
AUS,Social,ets,0.009491828048999996,
AUS,Water,arima_shared_order,0.0009194887989608991,"(2, 0, 0)"
AUT,Capacity,ets,0.003915973365300163,
AUT,Economic,arima_shared_order,0.006730811027855843,"(2, 0, 0)"
AUT,Ecosystems,arima_shared_order,0.0018772847942008619,"(2, 0, 0)"
AUT,Exposure,ets,5.551115123125783e-17,
AUT,Food,arima,0.005506685145082635,
AUT,Governance,ets,0.050693110353058124,
AUT,Habitat,arima_shared_order,0.006301389539768154,"(2, 0, 1)"
AUT,Health,ets,0.019844161260474714,
AUT,Infrastructure,ets,0.015851160883301997,
AUT,Sensitivity,arima_shared_order,0.005898661857175214,"(2, 0, 0)"
AUT,Social,ets,0.005756971971872216,
AUT,Water,arima,0.00010404784200759298,
AZE,Capacity,arima_shared_order,0.0024245393712531093,"(2, 0, 0)"
AZE,Economic,ets,0.021883270882765083,
AZE,Ecosystems,arima,0.0005371454871001657,
AZE,Exposure,ets,5.551115123125783e-17,
AZE,Food,arima_shared_order,0.010356830862693156,"(2, 0, 0)"
AZE,Governance,arima,0.029629010995916173,
AZE,Habitat,ets,0.0008430734998970957,
AZE,Health,arima_shared_order,0.004651015896142319,"(2, 0, 0)"
AZE,Infrastructure,ets,0.00011535017743393716,
