country,indicator,model,mae,shared_order
AFG,Capacity,ets,0.006558681973636249,
AFG,Economic,arima_shared_order,0.02189153116973668,"(2, 0, 0)"
AFG,Ecosystems,arima_shared_order,0.0020640459935261425,"(2, 0, 0)"
AFG,Exposure,arima,0.0,
AFG,Food,arima_shared_order,0.010685789731046436,"(2, 0, 0)"
AFG,Governance,ets,0.015155644190746775,
AFG,Habitat,ets,0.007526106657075338,
AFG,Health,arima,0.014815688171531916,
AFG,Infrastructure,ets,0.003938432443482587,
AFG,Sensitivity,ets,0.015342431498286003,
AFG,Social,ets,0.0018000810064214613,
AFG,Water,ets,8.43130484470045e-05,
AGO,Capacity,arima,0.0012913488991241895,
AGO,Economic,arima,0.03520320457869588,
AGO,Ecosystems,arima_shared_order,0.0015744540901799996,"(2, 0, 0)"
AGO,Exposure,ets,1.1102230246251565e-16,
AGO,Food,arima_shared_order,0.006525789492492984,"(2, 0, 0)"
AGO,Governance,ets,0.019876348819084556,
AGO,Habitat,ets,0.009795113844148773,
AGO,Health,ets,0.014249864127130318,
AGO,Infrastructure,arima,0.015607373768531751,
AGO,Sensitivity,ets,0.00487920586974524,
AGO,Social,arima_shared_order,0.0014731278291367333,"(2, 0, 0)"
AGO,Water,arima,0.0018009521715561584,
ALB,Capacity,ets,0.0018099028122365412,
ALB,Economic,arima,0.02391664758664973,
ALB,Ecosystems,ets,0.002205536063532132,
ALB,Exposure,arima,0.0,
ALB,Food,ets,0.023830851215355987,
ALB,Governance,ets,0.04629224990091361,
ALB,Habitat,ets,0.011477571972856305,
ALB,Health,ets,0.002986810459191469,
ALB,Infrastructure,arima_shared_order,0.012194111792789042,"(2, 0, 0)"
ALB,Sensitivity,ets,0.007470615788339641,
ALB,Social,arima_shared_order,0.004856401498480811,"(2, 0, 0)"
ALB,Water,arima,0.0014173356192952013,
ARE,Capacity,arima_shared_order,0.011215413960654064,"(2, 0, 0)"
ARE,Economic,arima_shared_order,0.04689888930446846,"(2, 0, 0)"
ARE,Ecosystems,arima,0.0026686073269310386,
ARE,Exposure,arima,0.0,
ARE,Food,arima_shared_order,0.001633438944351906,"(2, 0, 0)"
ARE,Governance,arima,0.012130356327129267,
ARE,Habitat,arima,0.007842785014996434,
ARE,Health,ets,0.015968725513535387,
ARE,Infrastructure,arima,0.0,
ARE,Sensitivity,arima,0.0009862853274916871,
ARE,Social,ets,0.007506599751719034,
ARE,Water,ets,2.6830136939959283e-05,
ARG,Capacity,arima,0.016266186479790536,
ARG,Economic,arima,0.012276790644091862,
ARG,Ecosystems,arima,0.0006278941839892749,
ARG,Exposure,arima,0.0,
ARG,Food,arima_shared_order,0.002490274451683372,"(2, 0, 0)"
ARG,Governance,arima_shared_order,0.029871542216485712,"(2, 0, 0)"
ARG,Habitat,arima_shared_order,0.0010944777875055544,"(2, 0, 0)"
ARG,Health,ets,0.009391558901206364,
ARG,Infrastructure,arima_shared_order,0.02667189502636751,"(2, 0, 0)"
ARG,Sensitivity,ets,0.004344770884827725,
ARG,Social,ets,0.005849212021804573,
ARG,Water,arima_shared_order,0.0003845561895741589,"(2, 0, 0)"
ARM,Capacity,ets,0.004889680454536605,
ARM,Economic,ets,0.12910370520979733,
ARM,Ecosystems,ets,0.010961385415480685,
ARM,Exposure,arima,0.0,
ARM,Food,ets,0.0031573176239953595,
ARM,Governance,ets,0.021305610088767923,
ARM,Habitat,ets,0.003679400065147809,
ARM,Health,ets,0.004558643542039387,
ARM,Infrastructure,arima,0.014137293609722046,
ARM,Sensitivity,ets,0.004895768053631677,
ARM,Social,ets,0.004766017617030683,
ARM,Water,ets,0.00424805633778691,
ATG,Capacity,ets,0.0031334597412163933,
ATG,Economic,ets,0.014700715545915566,
ATG,Ecosystems,arima_shared_order,0.004164388777877459,"(2, 0, 0)"
ATG,Exposure,arima,0.0,
ATG,Food,ets,0.008091142702617127,
ATG,Governance,arima,0.15956425007686356,
ATG,Habitat,arima_shared_order,0.0001234396700876883,"(2, 0, 0)"
ATG,Health,ets,0.01083813389373427,
ATG,Infrastructure,ets,0.0023842772628781097,
ATG,Sensitivity,ets,0.004672676362964978,
ATG,Social,arima,0.005102428676164661,
ATG,Water,arima,0.0019663919254766073,
AUS,Capacity,ets,0.010523910382441803,
AUS,Economic,arima,0.026534069327383357,
AUS,Ecosystems,ets,0.000628242474600782,
AUS,Exposure,ets,6.661338147750939e-17,
AUS,Food,arima_shared_order,0.0012543131758777748,"(2, 0, 0)"
AUS,Governance,ets,0.008394432028256594,
AUS,Habitat,arima,0.004073719526513897,
AUS,Health,ets,0.002253363196383329,
AUS,Infrastructure,ets,0.01416665599535935,
AUS,Sensitivity,arima_shared_order,0.000925990492144968,"(2, 0, 0)"
AUS,Social,arima,0.03286170883708624,
AUS,Water,arima_shared_order,0.00282727183506839,"(2, 0, 0)"
AUT,Capacity,ets,0.0059161862350194825,
AUT,Economic,arima,0.024551045502416203,
AUT,Ecosystems,ets,0.0007046248041872816,
AUT,Exposure,arima,0.0,
AUT,Food,arima_shared_order,0.0035702215315936313,"(2, 0, 0)"
AUT,Governance,ets,0.009370175656122044,
AUT,Habitat,arima_shared_order,0.0049311883400553255,"(2, 0, 0)"
AUT,Health,arima_shared_order,0.0003051283005838512,"(2, 0, 0)"
AUT,Infrastructure,ets,0.004205505219104222,
AUT,Sensitivity,arima,0.0013783086287301404,
AUT,Social,ets,0.0010493069395631437,
AUT,Water,arima,8.601454743278891e-05,
AZE,Capacity,ets,0.0024864336454718527,
AZE,Economic,ets,0.11267698123773573,
AZE,Ecosystems,ets,0.0015403681280153013,
AZE,Exposure,ets,5.551115123125783e-17,
AZE,Food,ets,0.012423201043895849,
AZE,Governance,ets,0.0069102833720551485,
AZE,Habitat,arima,0.002227550059653327,
AZE,Health,arima_shared_order,0.0015961732489057855,"(2, 0, 0)"
AZE,Infrastructure,arima_shared_order,0.0005748108503410898,"(2, 0, 0)"
AZE,Sensitivity,arima_shared_order,0.003119278948405524,"(2, 0, 0)"
AZE,Social,ets,0.0047641354034209105,
AZE,Water,ets,0.0005886568756476307,
BDI,Capacity,ets,0.017041670737112623,
BDI,Economic,arima,0.036124621369957775,
BDI,Ecosystems,ets,0.006008371278464519,
BDI,Exposure,arima,0.0,
BDI,Food,ets,0.01513688280967449,
BDI,Governance,arima_shared_order,0.02286598278996037,"(2, 0, 0)"
BDI,Habitat,ets,0.01003600894115444,
BDI,Health,arima,0.008531861844178623,
BDI,Infrastructure,ets,0.003938432443482587,
BDI,Sensitivity,arima_shared_order,0.006815730894195437,"(2, 0, 0)"
BDI,Social,ets,0.001912237073261136,
BDI,Water,ets,9.863412014921025e-08,
BEL,Capacity,ets,0.004119781294470682,
BEL,Economic,arima,0.016049354718971474,
BEL,Ecosystems,arima,0.006861020874117297,
BEL,Exposure,arima,0.0,
BEL,Food,ets,0.004429306635173181,
BEL,Governance,arima_shared_order,0.014662790045717028,"(2, 0, 0)"
BEL,Habitat,arima_shared_order,0.005253203348390556,"(2, 0, 0)"
BEL,Health,ets,0.004933718328068099,
BEL,Infrastructure,arima,0.007495783642307208,
BEL,Sensitivity,arima,0.0030788596107195975,
BEL,Social,ets,0.0197302472861978,
BEL,Water,ets,0.004824604455184523,
BEN,Capacity,arima,0.006634109339856198,
BEN,Economic,arima,0.04294342255914587,
BEN,Ecosystems,ets,0.010632399805360748,
BEN,Exposure,ets,6.661338147750939e-17,
BEN,Food,arima,0.013802754257084836,
BEN,Governance,arima,0.02569315169433144,
BEN,Habitat,arima,0.004070144777320639,
BEN,Health,arima_shared_order,0.022565996797497222,"(2, 0, 0)"
BEN,Infrastructure,arima,0.006344221890737,
BEN,Sensitivity,ets,0.01089136542395921,
BEN,Social,arima_shared_order,0.0015000844003032255,"(2, 0, 0)"
BEN,Water,ets,2.3146663377660026e-06,
BFA,Capacity,arima_shared_order,0.007010746160452408,"(2, 0, 0)"
BFA,Economic,arima,0.024540250075110202,
BFA,Ecosystems,ets,0.005171620553830758,
BFA,Exposure,arima,0.0,
BFA,Food,ets,0.006637588242661208,
BFA,Governance,arima_shared_order,0.0558858331960355,"(2, 0, 0)"
BFA,Habitat,ets,0.0038876427866143095,
BFA,Health,ets,0.06408390941050757,
BFA,Infrastructure,ets,0.022087400520909316,
BFA,Sensitivity,ets,0.01836470072521377,
BFA,Social,ets,0.002327980122330331,
BFA,Water,ets,0.00035281730597832575,
BGD,Capacity,ets,0.020759496584791436,
BGD,Economic,arima_shared_order,0.5969002750938508,"(2, 0, 0)"
BGD,Ecosystems,ets,0.0016177677504826792,
BGD,Exposure,arima,0.0,
BGD,Food,ets,0.0072956614081917115,
BGD,Governance,ets,0.0056259541996535045,
BGD,Habitat,arima,0.008794345796242853,
BGD,Health,ets,0.017833290910823328,
BGD,Infrastructure,ets,0.006665447151024928,
BGD,Sensitivity,ets,0.0028523771708709013,
BGD,Social,ets,0.010157245957551297,
BGD,Water,ets,0.00018412409961798826,
BGR,Capacity,ets,0.01619573279066131,
BGR,Economic,arima_shared_order,0.015163879061960928,"(2, 0, 0)"
