Country,Year,Indicator,Value
AFG,1995,Capacity,0.893281
AFG,1995,Economic,0.496497
AFG,1995,Ecosystems,0.515884
AFG,1995,Food,0.665745
AFG,1995,Governance,0.12809
AFG,1995,Habitat,0.602933
AFG,1995,Health,0.748302
AFG,1995,Infrastructure,0.3555863012048192
AFG,1995,Sensitivity,0.419587
AFG,1995,Social,0.299958
AFG,1995,Water,0.529692
AFG,1995,Exposure,0.480512
AFG,1995,Vulnerability,0.5913762876506025
AFG,1995,Readiness,0.3081816666666667
AFG,1995,CompositeRisk,0.6315531059236947
AFG,1996,Capacity,0.893892
AFG,1996,Economic,0.496497
AFG,1996,Ecosystems,0.516995
AFG,1996,Food,0.665583
AFG,1996,Governance,0.12809
AFG,1996,Habitat,0.604235
AFG,1996,Health,0.748302
AFG,1996,Infrastructure,0.3544835903614458
AFG,1996,Sensitivity,0.419307
AFG,1996,Social,0.299954
AFG,1996,Water,0.528281
AFG,1996,Exposure,0.480512
AFG,1996,Vulnerability,0.5913848237951808
AFG,1996,Readiness,0.30818033333333333
AFG,1996,CompositeRisk,0.6315587609437752
AFG,1997,Capacity,0.894459
AFG,1997,Economic,0.496497
AFG,1997,Ecosystems,0.51803
AFG,1997,Food,0.66542
AFG,1997,Governance,0.141392
AFG,1997,Habitat,0.605583
AFG,1997,Health,0.748302
AFG,1997,Infrastructure,0.3539248734939759
AFG,1997,Sensitivity,0.419055
AFG,1997,Social,0.299952
AFG,1997,Water,0.526853
AFG,1997,Exposure,0.480512
AFG,1997,Vulnerability,0.591453359186747
AFG,1997,Readiness,0.3126136666666667
AFG,1997,CompositeRisk,0.6298265488453816
AFG,1998,Capacity,0.890161
AFG,1998,Economic,0.496497
AFG,1998,Ecosystems,0.518156
AFG,1998,Food,0.657103
AFG,1998,Governance,0.154694
AFG,1998,Habitat,0.606909
AFG,1998,Health,0.748302
AFG,1998,Infrastructure,0.3537099819277108
AFG,1998,Sensitivity,0.418794
AFG,1998,Social,0.299949
AFG,1998,Water,0.525424
AFG,1998,Exposure,0.480512
AFG,1998,Vulnerability,0.5898198727409638
AFG,1998,Readiness,0.3170466666666667
AFG,1998,CompositeRisk,0.6270732569779116
AFG,1999,Capacity,0.885896
AFG,1999,Economic,0.496497
AFG,1999,Ecosystems,0.518156
AFG,1999,Food,0.648959
AFG,1999,Governance,0.143689
AFG,1999,Habitat,0.608137
AFG,1999,Health,0.748302
AFG,1999,Infrastructure,0.3522916686746988
AFG,1999,Sensitivity,0.419433
AFG,1999,Social,0.299947
AFG,1999,Water,0.525585
AFG,1999,Exposure,0.480512
AFG,1999,Vulnerability,0.5883449585843373
AFG,1999,Readiness,0.3133776666666667
AFG,1999,CompositeRisk,0.6276559084839357
AFG,2000,Capacity,0.881523
AFG,2000,Economic,0.496497
AFG,2000,Ecosystems,0.518156
AFG,2000,Food,0.640726
AFG,2000,Governance,0.132685
AFG,2000,Habitat,0.609171
AFG,2000,Health,0.748302
AFG,2000,Infrastructure,0.3528907831325301
AFG,2000,Sensitivity,0.419954
AFG,2000,Social,0.299946
AFG,2000,Water,0.525637
AFG,2000,Exposure,0.480512
AFG,2000,Vulnerability,0.5870449728915663
AFG,2000,Readiness,0.30970933333333334
AFG,2000,CompositeRisk,0.6283432504016064
AFG,2001,Capacity,0.871661
AFG,2001,Economic,0.496497
AFG,2001,Ecosystems,0.518156
AFG,2001,Food,0.63125
AFG,2001,Governance,0.135052
AFG,2001,Habitat,0.609941
AFG,2001,Health,0.747669
AFG,2001,Infrastructure,0.3518450180722891
AFG,2001,Sensitivity,0.420319
AFG,2001,Social,0.299946
AFG,2001,Water,0.525648
AFG,2001,Exposure,0.480512
AFG,2001,Vulnerability,0.5845611272590361
AFG,2001,Readiness,0.3104983333333333
AFG,2001,CompositeRisk,0.6265373430220884
AFG,2002,Capacity,0.861821
AFG,2002,Economic,0.496497
AFG,2002,Ecosystems,0.518156
AFG,2002,Food,0.62244
AFG,2002,Governance,0.137419
AFG,2002,Habitat,0.610407
AFG,2002,Health,0.747669
AFG,2002,Infrastructure,0.3503721144578313
AFG,2002,Sensitivity,0.420499
AFG,2002,Social,0.299996
AFG,2002,Water,0.524336
AFG,2002,Exposure,0.480512
AFG,2002,Vulnerability,0.5819625143072289
AFG,2002,Readiness,0.311304
AFG,2002,CompositeRisk,0.6246559085843373
AFG,2003,Capacity,0.85244
AFG,2003,Economic,0.496497
AFG,2003,Ecosystems,0.518156
AFG,2003,Food,0.614618
AFG,2003,Governance,0.116023
AFG,2003,Habitat,0.610594
AFG,2003,Health,0.700842
AFG,2003,Infrastructure,0.3498297951807229
AFG,2003,Sensitivity,0.397099
AFG,2003,Social,0.300355
AFG,2003,Water,0.523046
AFG,2003,Exposure,0.480512
AFG,2003,Vulnerability,0.5708280993975904
AFG,2003,Readiness,0.3042916666666667
AFG,2003,CompositeRisk,0.6207801929718876
AFG,2004,Capacity,0.842772
AFG,2004,Economic,0.496497
AFG,2004,Ecosystems,0.518156
AFG,2004,Food,0.606118
AFG,2004,Governance,0.114536
AFG,2004,Habitat,0.610599
AFG,2004,Health,0.722573
AFG,2004,Infrastructure,0.3492319879518072
AFG,2004,Sensitivity,0.407808
AFG,2004,Social,0.301004
AFG,2004,Water,0.52164
AFG,2004,Exposure,0.480512
AFG,2004,Vulnerability,0.5723622484939759
AFG,2004,Readiness,0.30401233333333333
AFG,2004,CompositeRisk,0.6218124157630522
AFG,2005,Capacity,0.834942
AFG,2005,Economic,0.336073
AFG,2005,Ecosystems,0.518156
AFG,2005,Food,0.606225
AFG,2005,Governance,0.092322
AFG,2005,Habitat,0.605278
AFG,2005,Health,0.760744
AFG,2005,Infrastructure,0.3485309277108434
AFG,2005,Sensitivity,0.426574
AFG,2005,Social,0.303869
AFG,2005,Water,0.520217
AFG,2005,Exposure,0.480512
AFG,2005,Vulnerability,0.5775833659638554
AFG,2005,Readiness,0.244088
AFG,2005,CompositeRisk,0.6489148195783132
AFG,2006,Capacity,0.827672
AFG,2006,Economic,0.249237
AFG,2006,Ecosystems,0.518156
AFG,2006,Food,0.606113
AFG,2006,Governance,0.092542
AFG,2006,Habitat,0.599683
AFG,2006,Health,0.780382
AFG,2006,Infrastructure,0.3462596325301205
AFG,2006,Sensitivity,0.435272
AFG,2006,Social,0.307536
AFG,2006,Water,0.518809
AFG,2006,Exposure,0.480512
AFG,2006,Vulnerability,0.5790433290662651
AFG,2006,Readiness,0.21643833333333332
AFG,2006,CompositeRisk,0.6608506641064258
AFG,2007,Capacity,0.819681
AFG,2007,Economic,0.244378
AFG,2007,Ecosystems,0.518156
AFG,2007,Food,0.6064
AFG,2007,Governance,0.05415
AFG,2007,Habitat,0.59378
AFG,2007,Health,0.764594
AFG,2007,Infrastructure,0.3457751506024096
AFG,2007,Sensitivity,0.426957
AFG,2007,Social,0.311462
AFG,2007,Water,0.517326
AFG,2007,Exposure,0.480512
AFG,2007,Vulnerability,0.5740836438253012
AFG,2007,Readiness,0.20333
AFG,2007,CompositeRisk,0.6631181862951807
AFG,2008,Capacity,0.806682
AFG,2008,Economic,0.233301
AFG,2008,Ecosystems,0.518102
AFG,2008,Food,0.606589
AFG,2008,Governance,0.040618
AFG,2008,Habitat,0.576649
AFG,2008,Health,0.779774
AFG,2008,Infrastructure,0.3439663855421687
AFG,2008,Sensitivity,0.433728
AFG,2008,Social,0.316926
