Feature,RF_Importance,MeanAbsSHAP,PCA_Weight
Capacity,0.6671593685811018,0.06854018996498748,0.380948149194862
Health,0.25196648579932374,0.03988779033138955,0.371919976138284
Governance,0.02622784299204115,0.010755729840989447,0.297011943599082
Food,0.013271827258760012,0.00629054025874303,0.3623025601722026
Economic,0.011273874437554622,0.006608088188083836,0.2554458580200455
Sensitivity,0.008460978650779494,0.005223741646037593,0.2835450857972489
Social,0.005936039085135014,0.0037274259665723663,0.3048157836500121
Exposure,0.005834103509820164,0.003509155217478099,0.234249351920125
Ecosystems,0.003963382172088499,0.0024182356479640387,0.2960856780549
Habitat,0.002143764259627842,0.0013746086049481808,0.2632512180552489
Water,0.0020518300489351477,0.0012175445725637155,0.1814485406608016
Infrastructure,0.0017105032048323344,0.0011371373538180043,0.117249609232606
