country,year,risk_score,source,lower,upper
AFG,1995,0.6442338000000001,actual,,
AFG,1996,0.644335,actual,,
AFG,1997,0.6426566,actual,,
AFG,1998,0.6398885999999999,actual,,
AFG,1999,0.6405456,actual,,
AFG,2000,0.6411552,actual,,
AFG,2001,0.6397206,actual,,
AFG,2002,0.638239,actual,,
AFG,2003,0.6343538,actual,,
AFG,2004,0.635885,actual,,
AFG,2005,0.6636392,actual,,
AFG,2006,0.6762022,actual,,
AFG,2007,0.6786985999999999,actual,,
AFG,2008,0.6808566,actual,,
AFG,2009,0.67791,actual,,
AFG,2010,0.6726728,actual,,
AFG,2011,0.6794962,actual,,
AFG,2012,0.6703458,actual,,
AFG,2013,0.6726416,actual,,
AFG,2014,0.6650476000000001,actual,,
AFG,2015,0.6622790000000001,actual,,
AFG,2016,0.6624490000000001,actual,,
AFG,2017,0.6679934000000001,actual,,
AFG,2018,0.668925,actual,,
AFG,2019,0.6622842,actual,,
AFG,2020,0.6626402,actual,,
AFG,2021,0.654532,actual,,
AFG,2022,0.6564904,actual,,
AFG,2023,0.6553828,actual,,
AFG,2024,0.6557810519342384,forecast,0.6413058356440858,0.6701237504031036
AFG,2025,0.6561793038460377,forecast,0.6372186592468568,0.6761426344067293
AFG,2026,0.6565775557578372,forecast,0.6317783441447093,0.6803200766333977
AFG,2027,0.6569758076696366,forecast,0.6295837600014356,0.684705531288336
AFG,2028,0.657374059581436,forecast,0.6255996512008867,0.6894192495121421
AFG,2029,0.6577723114932353,forecast,0.6221698784500423,0.69250877252415
AFG,2030,0.6581705634050348,forecast,0.6191706460088406,0.6958398996212737
AFG,2031,0.6585688153168342,forecast,0.6178737000741931,0.7012559846240238
AFG,2032,0.6589670672286335,forecast,0.6153381941238714,0.7018422767228686
AFG,2033,0.659365319140433,forecast,0.6121186627972933,0.7046258070482346
AFG,2034,0.6597635710522324,forecast,0.6105034543307054,0.7065772019490293
AFG,2035,0.6601618229640318,forecast,0.6096640948390301,0.7093255243972275
AFG,2036,0.6605600748758311,forecast,0.6070383019847143,0.711325487252045
AFG,2037,0.6609583267876306,forecast,0.6050580128768682,0.7131987895940982
AFG,2038,0.66135657869943,forecast,0.6063113661387046,0.7156874739866433
AFG,2039,0.6617548306112294,forecast,0.6035234069901331,0.7217814452106768
AFG,2040,0.6621530825230287,forecast,0.6040587125118435,0.7220141068728607
AGO,1995,0.625437,actual,,
AGO,1996,0.6256474000000001,actual,,
AGO,1997,0.6257796,actual,,
AGO,1998,0.6259138,actual,,
AGO,1999,0.6262462,actual,,
AGO,2000,0.6266368,actual,,
AGO,2001,0.6263118000000001,actual,,
AGO,2002,0.623499,actual,,
AGO,2003,0.6272840000000001,actual,,
AGO,2004,0.6266503999999999,actual,,
AGO,2005,0.6314796,actual,,
AGO,2006,0.6444373999999999,actual,,
AGO,2007,0.6416968,actual,,
AGO,2008,0.6409802,actual,,
AGO,2009,0.6438786000000001,actual,,
AGO,2010,0.6496114,actual,,
AGO,2011,0.6495952,actual,,
AGO,2012,0.6417598,actual,,
AGO,2013,0.6400536,actual,,
AGO,2014,0.6454388,actual,,
AGO,2015,0.6469608,actual,,
AGO,2016,0.6383951999999999,actual,,
AGO,2017,0.6361544,actual,,
AGO,2018,0.629577,actual,,
AGO,2019,0.6241110000000001,actual,,
AGO,2020,0.6203998,actual,,
AGO,2021,0.609235,actual,,
AGO,2022,0.6065978000000001,actual,,
AGO,2023,0.6049274,actual,,
AGO,2024,0.6010934386720377,forecast,0.5914009421804175,0.6106972022223215
AGO,2025,0.5972594773850717,forecast,0.5823310507305203,0.6122606498319819
AGO,2026,0.5934255160981057,forecast,0.5734180158274478,0.6130189326402387
AGO,2027,0.5895915548111397,forecast,0.5646768989881465,0.6144049160983914
AGO,2028,0.5857575935241737,forecast,0.5552486629297935,0.6154582481255136
AGO,2029,0.5819236322372077,forecast,0.5448061978472404,0.6190419733450319
AGO,2030,0.5780896709502417,forecast,0.5334726655350973,0.6219385689182015
AGO,2031,0.5742557096632757,forecast,0.5240759217357026,0.6242048866494772
AGO,2032,0.5704217483763097,forecast,0.5113772531721621,0.6254577869142491
AGO,2033,0.5665877870893435,forecast,0.5017343247145885,0.6304655072538918
AGO,2034,0.5627538258023775,forecast,0.4921941217685146,0.6339445399119673
AGO,2035,0.5589198645154115,forecast,0.4803867910205125,0.6359205549686114
AGO,2036,0.5550859032284455,forecast,0.4674123654052435,0.6344921002587732
AGO,2037,0.5512519419414795,forecast,0.45508902132178297,0.6380869391995344
AGO,2038,0.5474179806545135,forecast,0.4434282147288618,0.6420698088943164
AGO,2039,0.5435840193675475,forecast,0.4346437096339683,0.6488099070626477
AGO,2040,0.5397500580805815,forecast,0.4229244072963161,0.6520149052551228
ALB,1995,0.5591934,actual,,
ALB,1996,0.5595045999999999,actual,,
ALB,1997,0.5594323999999999,actual,,
ALB,1998,0.5615216000000001,actual,,
ALB,1999,0.563523,actual,,
ALB,2000,0.5603322,actual,,
ALB,2001,0.5604942,actual,,
ALB,2002,0.5583912,actual,,
ALB,2003,0.557601,actual,,
ALB,2004,0.5498356,actual,,
ALB,2005,0.5518756,actual,,
ALB,2006,0.5574368,actual,,
ALB,2007,0.5537058,actual,,
ALB,2008,0.5466204000000001,actual,,
ALB,2009,0.5384469999999999,actual,,
ALB,2010,0.5320784000000001,actual,,
ALB,2011,0.5342928,actual,,
ALB,2012,0.5284922000000001,actual,,
ALB,2013,0.5245920000000001,actual,,
ALB,2014,0.5116700000000001,actual,,
ALB,2015,0.5045038000000001,actual,,
ALB,2016,0.5055513999999999,actual,,
ALB,2017,0.5063658,actual,,
ALB,2018,0.5027022,actual,,
ALB,2019,0.5009733999999999,actual,,
ALB,2020,0.4971416,actual,,
ALB,2021,0.4891432,actual,,
ALB,2022,0.4813326,actual,,
ALB,2023,0.4780572,actual,,
ALB,2024,0.4738417970172254,forecast,0.4650556069151315,0.48254755123867976
ALB,2025,0.469626394050614,forecast,0.45686351470009146,0.48270308305246884
ALB,2026,0.46541099108400263,forecast,0.44841785557806735,0.48182062363472694
ALB,2027,0.4611955881173912,forecast,0.44117011491739655,0.4814526805112731
ALB,2028,0.4569801851507798,forecast,0.4323819560835517,0.4807169505984668
ALB,2029,0.45276478218416844,forecast,0.4237015206235359,0.4812887483709122
ALB,2030,0.44854937921755705,forecast,0.41490197323994,0.4810979805603546
ALB,2031,0.4443339762509457,forecast,0.40675444086670265,0.4815950198931402
ALB,2032,0.4401185732843343,forecast,0.39694676378682836,0.4807666188990034
ALB,2033,0.43590317031772285,forecast,0.3886641110458945,0.4817120995214282
ALB,2034,0.4316877673511115,forecast,0.3805364473594062,0.48252054545362605
ALB,2035,0.4274723643845001,forecast,0.3715968126098433,0.481336845541561
ALB,2036,0.4232569614178887,forecast,0.36260321210617824,0.4786521530444191
ALB,2037,0.41904155845127733,forecast,0.3527505048765141,0.47990233771553165
ALB,2038,0.41482615548466595,forecast,0.3442925361832703,0.47997419113784784
ALB,2039,0.41061075251805457,forecast,0.3367894946348104,0.4822978139446062
ALB,2040,0.40639534955144313,forecast,0.3266382194653408,0.48121493753906697
ARE,1995,0.511058,actual,,
ARE,1996,0.51066,actual,,
ARE,1997,0.5089480000000001,actual,,
ARE,1998,0.5065234000000001,actual,,
ARE,1999,0.5041762000000001,actual,,
ARE,2000,0.5009804,actual,,
ARE,2001,0.4833796,actual,,
ARE,2002,0.4662854,actual,,
ARE,2003,0.4742906,actual,,
ARE,2004,0.467437,actual,,
ARE,2005,0.46367939999999996,actual,,
ARE,2006,0.45015760000000005,actual,,
ARE,2007,0.4444444,actual,,
ARE,2008,0.4418748,actual,,
ARE,2009,0.4484918,actual,,
ARE,2010,0.43629260000000003,actual,,
ARE,2011,0.429281,actual,,
ARE,2012,0.425056,actual,,
ARE,2013,0.4133366,actual,,
ARE,2014,0.4060064,actual,,
ARE,2015,0.4090608,actual,,
ARE,2016,0.4112368,actual,,
ARE,2017,0.4096016,actual,,
ARE,2018,0.4084026,actual,,
ARE,2019,0.4081422,actual,,
ARE,2020,0.4000622,actual,,
ARE,2021,0.39522,actual,,
ARE,2022,0.3952012,actual,,
ARE,2023,0.39700179999999996,actual,,
ARE,2024,0.3929693168225589,forecast,0.38008576022465895,0.4057349269375488
ARE,2025,0.3889428297247277,forecast,0.3720818319517142,0.40670062035761756
ARE,2026,0.3849163426268965,forecast,0.36285621764075227,0.4060271723125936
ARE,2027,0.3808898555290653,forecast,0.35652227957965726,0.40555683894205047
ARE,2028,0.3768633684312341,forecast,0.34860081985678437,0.4053660186254508
ARE,2029,0.37283688133340287,forecast,0.34116369495128324,0.40373401906593104
ARE,2030,0.36881039423557166,forecast,0.33412736800332093,0.40230609922942157
ARE,2031,0.36478390713774045,forecast,0.3285924071059156,0.4027394780879946
ARE,2032,0.36075742003990924,forecast,0.3219625716026653,0.39888541447073167
ARE,2033,0.356730932942078,forecast,0.3147151505298157,0.3969729868767634
ARE,2034,0.3527044458442468,forecast,0.3089007819656315,0.39432110489119265
ARE,2035,0.3486779587464156,forecast,0.3037829663815028,0.3924033021162564
ARE,2036,0.3446514716485844,forecast,0.2970592673056977,0.38978461720496715
ARE,2037,0.3406249845507532,forecast,0.29092608455732316,0.38707821219992794
ARE,2038,0.336598497452922,forecast,0.2876545455002925,0.3849000524096798
ARE,2039,0.33257201035509076,forecast,0.2807979891584751,0.3859427454001846
ARE,2040,0.32854552325725955,forecast,0.2768831714988017,0.3817771558747435
ARG,1995,0.5063565999999999,actual,,
ARG,1996,0.5054246,actual,,
ARG,1997,0.5078156,actual,,
