,Country,Indicator,Order,AIC,BIC
0,AFG,Capacity,"(3, 0, 1)",-167.25427486141848,-159.05049988149963
1,AFG,Economic,"(0, 1, 1)",-103.03624653767864,-100.37183751732823
2,AFG,Ecosystems,"(1, 0, 0)",-270.38917815021045,-266.287290660251
3,AFG,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
4,AFG,Food,"(1, 0, 2)",-177.31272662317613,-170.47624747324377
5,AFG,Governance,"(2, 0, 2)",-133.07358564510332,-124.86981066518447
6,AFG,Habitat,"(2, 0, 0)",-233.02620768254357,-227.55702436259767
7,AFG,Health,"(1, 0, 0)",-139.31379948426718,-135.21191199430777
8,AFG,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
9,AFG,Readiness,"(1, 0, 2)",-155.4993800333327,-148.66290088340034
10,AFG,Sensitivity,"(1, 0, 0)",-171.9511887026299,-167.8493012126705
11,AFG,Social,"(2, 0, 1)",-274.70534844932104,-267.8688692993887
12,AFG,Vulnerability,"(1, 0, 0)",-218.44540957460808,-214.34352208464867
13,AFG,Water,"(2, 0, 0)",-347.8655431747377,-342.3963598547918
14,AGO,Capacity,"(0, 0, 3)",-220.6112578037697,-213.77477865383733
15,AGO,Economic,"(1, 0, 0)",-115.0611611819825,-110.95927369202307
16,AGO,Ecosystems,"(1, 0, 0)",-305.0803252989657,-300.97843780900627
17,AGO,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
18,AGO,Food,"(1, 0, 2)",-205.46137488443975,-198.6248957345074
19,AGO,Governance,"(2, 0, 0)",-132.97586225135933,-127.50667893141343
20,AGO,Habitat,"(1, 0, 1)",-212.87864696193517,-207.40946364198928
21,AGO,Health,"(3, 0, 1)",-187.89937195408322,-179.69559697416437
22,AGO,Infrastructure,"(2, 0, 0)",-207.75608945949716,-202.28690613955126
23,AGO,Readiness,"(2, 0, 1)",-178.78667741262308,-171.95019826269072
24,AGO,Sensitivity,"(1, 0, 0)",-218.71962007102735,-214.61773258106794
25,AGO,Social,"(1, 1, 0)",-239.64345681952608,-236.97904779917567
26,AGO,Vulnerability,"(1, 0, 0)",-263.609021301555,-259.50713381159557
27,AGO,Water,"(1, 0, 0)",-261.2678185521868,-257.16593106222734
28,ALB,Capacity,"(1, 1, 2)",-201.11786925899824,-195.78905121829743
29,ALB,Economic,"(2, 0, 0)",-146.20932746467736,-140.74014414473146
30,ALB,Ecosystems,"(3, 0, 0)",-230.45553112598463,-223.61905197605228
31,ALB,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
32,ALB,Food,"(0, 1, 3)",-183.15358413303855,-177.82476609233774
33,ALB,Governance,"(2, 1, 2)",-145.80404391358078,-139.14302136270476
34,ALB,Habitat,"(1, 0, 1)",-252.83179732084602,-247.36261400090012
35,ALB,Health,"(3, 0, 2)",-197.27686891652488,-187.70579810661957
36,ALB,Infrastructure,"(2, 0, 1)",-134.65659230033705,-127.82011315040468
37,ALB,Readiness,"(1, 0, 1)",-187.09992351424393,-181.63074019429803
38,ALB,Sensitivity,"(1, 0, 0)",-178.04649269293458,-173.94460520297517
39,ALB,Social,"(1, 1, 0)",-229.41907213101592,-226.75466311066552
40,ALB,Vulnerability,"(2, 0, 1)",-226.47500362520617,-219.6385244752738
41,ALB,Water,"(2, 0, 0)",-297.5121461022899,-292.042962782344
42,ARE,Capacity,"(0, 1, 0)",-178.25438981950768,-176.92218530933246
43,ARE,Economic,"(0, 1, 3)",-110.24633208631312,-104.91751404561231
44,ARE,Ecosystems,"(1, 0, 3)",-269.952620852545,-261.7488458726262
45,ARE,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
46,ARE,Food,"(3, 0, 0)",-248.56923566634026,-241.7327565164079
47,ARE,Governance,"(0, 1, 0)",-100.09876093858671,-98.7665564284115
48,ARE,Habitat,"(1, 0, 2)",-269.19126151841976,-262.3547823684874
49,ARE,Health,"(2, 0, 0)",-251.85180008823704,-246.38261676829114
50,ARE,Infrastructure,"(1, 0, 0)",-154.96807317381712,-150.8661856838577
51,ARE,Readiness,"(2, 0, 1)",-147.39647252705603,-140.55999337712367
52,ARE,Sensitivity,"(1, 0, 2)",-268.8067554677207,-261.9702763177883
53,ARE,Social,"(3, 2, 1)",-198.93593623611142,-192.45675190608978
54,ARE,Vulnerability,"(2, 0, 0)",-250.5448887570983,-245.0757054371524
55,ARE,Water,"(2, 0, 0)",-507.58553834966494,-502.11635502971905
56,ARG,Capacity,"(1, 0, 0)",-162.60092063679633,-158.49903314683692
57,ARG,Economic,"(1, 0, 0)",-140.23434729242283,-136.13245980246342
58,ARG,Ecosystems,"(1, 0, 1)",-276.06055349495625,-270.59137017501035
59,ARG,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
60,ARG,Food,"(1, 0, 0)",-232.44621696151765,-228.34432947155824
61,ARG,Governance,"(2, 0, 0)",-133.48018977307035,-128.01100645312445
62,ARG,Habitat,"(1, 0, 1)",-286.76041319699834,-281.29122987705244
63,ARG,Health,"(2, 0, 0)",-179.5506109534092,-174.0814276334633
64,ARG,Infrastructure,"(0, 1, 0)",-124.21634820193205,-122.88414369175685
65,ARG,Readiness,"(1, 0, 0)",-178.87405554321825,-174.77216805325884
66,ARG,Sensitivity,"(1, 0, 0)",-224.84133873583272,-220.7394512458733
67,ARG,Social,"(2, 0, 1)",-179.68498734010154,-172.84850819016918
